"","x"
"488","Madre de dios. ""El título pesa tela y lleva esto aquí que sirve para que te maquilles y te des unos retoquitos"". ""¿Y novio no tenemos todavía, no?""

¿Quién es este cromañón, por favor? https://t.co/iXI7fQ3Ndp"
"489","@Martinez1Justin @LuciPradasQuero si lo hubieras hecho, como dices, no estaría diciéndome clasista por decirte que como hombre te tienes que callar la boca y escuchar. De la misma forma que yo no iría nunca a explicarte qué es el TDAH y lo mal que gestionas tu activismo. ¿por qué? PORQUE NO LO SUFRO."
"490","@Igor_XIV @electrikfc gracias, estas cosas cuentan."
"491","@srtagalicia @electrikfc Qué pena que tengas el candado y no te pueda hacer RT"
"492","@Igor_XIV @electrikfc las que quedan no las sé, pero hay muchas que ya se han ido. Y se seguirán yendo porque no vamos a dejar de denunciar esto."
"493","@Martinez1Justin @LuciPradasQuero lee sobre interseccionalidad, sobre cómo los módulos de opresión no son independientes, y cómo se puede ser hombre y opresor y A LA VEZ oprimido como parte de otro grupo vulnerable.
(Lo de zurdo ni te lo comento porque llevas un cacao maravillao)"
"494","@srtagalicia @electrikfc Ha escrito un libro que se llama ""El motor del éxito"", o algo así, donde por esa regla de tres contará que no tiene ni idea de qué hay en su web, pero que dinero le da."
"495","@electrikfc @kurioso Así que yo animo a que ayudemos al pobre dueño de Forocoches ( @electrikfc) nombrándolo, porque lo que es avisarlo en su propia web no funciona.
En una entrevista dijo que él era feminista, claro que sí, así que no habrá problemas ni resistencia a eliminar el acosos a mujeres.#Je"
"496","@electrikfc @kurioso Es curioso que Pepo reporte posts desde hace tres años en la propia web de Forocoches y a @electrikfc no le llegue, pero si acaba en Tw o FB, le llega como un aviso automatiquísimo, y entonces sí elimina el contenido."
"497","@electrikfc Lo cual es falso, claro, se reportan desde el mismo foro y no hace nada. Aquí @kurioso explica cómo eliminan sólo si salta a otras redes
https://t.co/ij551j84Ue"
"498","Vamos a poner en copia en todos estos tuits a @electrikfc, el dueño de Forocoches, que siempre dice que no elimina esos posts porque nadie se los hace llegar, pobre.
https://t.co/GgVGdd0Fyr"
"499","@Martinez1Justin @LuciPradasQuero los demás lleváis toda la vida hablando, silenciándonos, invisibilizándonos. Os toca callar y escuchar y aprender. Y hablando de etiquetas: soy feminista, orgullosa de esa ""etiqueta"", porque la otra opción es ser machista. Tú eliges."
"500","@helendepepe @irenestark_ el matriarcado está muy asentado en esta sociedad, Hels, no nos damos cuenta, pero cí."
"501","He escrito sobre la manada en TV y sobre los argumentos de los que defienden que entrevistarlos es libertad de expresión.

https://t.co/xsTBdRhcwS"
"502","@cidalf @Rocidodido 🤣🤣🤣🤣"
"503","Llevo un mes de pesadillas random que no sabéis, primas. Esta es la única que puedo contar, el resto me da vergüenza."
"504","He soñado que era actriz y famosa (aunque por más que me esforzaba no recordaba en el sueño ni una sola obra o peli que hubiera hecho). La gente me saludaba por la calle y me daba ansiedad no saber nada de ellos y ellos mucho de mí. Y lloraba porque además no quería ser actriz."
"505","@_Miss_Trash @Megalomanooo @Caballo_Roto yo bloqueo sin contestarles ni nada. &lt;3"
"506","@_Miss_Trash @Caballo_Roto te has dado cuenta cómo se sienten interpelados cuando hablamos de ""defensores"" de depredadores sexuales.
Esta gente tiene mujeres cerca."
"507","@_Miss_Trash @Caballo_Roto Y hasta en la de Villarrobledo si me apuras XD"
"508","Pseudofilósofos en mis menciones con metáforas de chichinabo que demuestran que entendieron el mito de la caverna al revés.
Why is happening this to me? https://t.co/CA04BUc20V"
"509","Me están faltando memes de manos compareciendo en el congreso, manos hablando con Merkel, etc. https://t.co/7fD8VU6LNu"
"510","https://t.co/RwtHuysoAf
El 11 de Radiojaputa, ya en sus pantallas. https://t.co/6yDO3hHFCs"
"511","@LI3PeO pero llegó a contestar algo o es todo mentira?"
"512","Cuando buscas en Google la temperatura que hizo ayer. XD https://t.co/8RLFVRJgtn"
"513","@eidieire pero qué creías que era?"
"514","@eidieire es la B, las otras no tienen sentido."
"515","@Adicta999 voy"
"516","@eidieire jajjajaja"
"517","@irenestark_ sí, seguro que conoces a un montón de casos de manadas de mujeres que violan en grupo a hombres. Por qué no dejas de hacer el ridículo? SE LLAMA PATRIARCADO."
"518","@irenestark_ no, no tiene nada que ver, claro que no. Mujeres que hagan esto no hay, será que la gentuza inevitable de la que hablas siempre han de ser hombres."
"519","@Sirion_XII https://t.co/PseilDOltO"
"520","Biris del Sevilla, perdón, los del Betis defendían a otro hijo sano del patriarcado diferente"
"521","Enhorabuena, magistrados, Forocoches, Biris del Betis y defensores en general. https://t.co/oGxoYwwgkK"
"522","Jajajjajajajaja, me encantó la historia del rape. 
Radiojaputa's oyentas teaching things. https://t.co/CxgpryFj4N"
"523","@Pascu113 @siraallwhite Que cierres al salir."
"524","Justin, coge por la sombra. https://t.co/yGbqOyGjDb"
"525","@domsAllioli sí, en spotify no hay muchos de los temas."
"526","¿Ya me han comparado con Hitler por decir que queremos ir a psicólogas, ginecólogas, etc que se definan como feministas? Sí. https://t.co/dR5UXj5NK9"
"527","@mireya___ @larodetta está claro que han entendido perfectamente la crítica, sí, sí."
"528","@aymareee ""la tengo enganchaíta a Orange is the new blaaaack"", jajajaja"
"529","XDDD, la quiero mucho. https://t.co/jNK4G8JJeq"
"530","@Chloe_Yiannopou @Moniconkaconka Perdona &lt;3"
"531","@Chloe_Yiannopou @Moniconkaconka ah, no había entendido eso. Había leído esto: No sé tú, pero yo no doy el perfil. Pensaba que dabas legitimidad a eso de que hay un perfil. Si no es así mis disculpas."
"532","@Chloe_Yiannopou @Moniconkaconka Decir que una mujer con autoestima no puede ser víctima de VG es negar la realidad de millones de mujeres en todo el mundo. Y deberías pensar qué estás fomentando al decir eso, cuando obviamente no sabes del tema."
"533","@Chloe_Yiannopou @Moniconkaconka las víctimas de VG son: seguras, inseguras, amables, bordes, listas, torpes, y sin o con autoestoestima (hasta que la pierden debido a la VG)."
"534","@Chloe_Yiannopou @Moniconkaconka y yo te digo que no hay un perfil de mujer maltratada. Que ser mujer es el factor de riesgo. Y víctima no eres hasta lo que eres. Y pensar que nunca lo serás porque X es vivir alienada."
"535","@Chloe_Yiannopou @Moniconkaconka que creas que por tu forma de ser estás libre de la violencia machista es que no has entendido nada. Y no entender nada te hace un caldo de cultivo perfecto para la violencia machista."
"536","@ItziHache @_DrakeX si la agredió sexualmente, por ejemplo, yo echo en falta una patada en la boca."
"537","Hablando de podcasts, ayer salió el nuevo episodio de Radiojaputa. https://t.co/c2WhUv8Vf6"
"538","@henarconh @Chagofran @LaVanguardia @SangreFucsia @gaelx @LauraFreixas @LeticiaDolera cuatro pero vais a seguir, no?"
"539","@ItziHache @_DrakeX descerebrada por qué? no sabemos si la ha agredido previamente, lo cual es más que probable."
"540","Y sobre @SangreFucsia cabe destacar que llevan más de cien programas, sin todos los medios que tenemos las demás de ese artículo, y han sacado adelante un proyecto muy potente. Además, tienen esto: https://t.co/oTcTeLTvBu
Juego de ""Feminismos Reunidos"". https://t.co/spa0eXsEV5"
"541","Además, su novela más bonita se llama Peonía, así que se lleva la P doble! https://t.co/NB4z2nmVx6"
"542","@catymorenog vamos a preguntarle a @lamarea_com, que estaban en papel, creo."
"543","@henarconh @Chagofran @LaVanguardia @SangreFucsia @gaelx @LauraFreixas @LeticiaDolera y yo pensé que Tramas Maestras era un programa en el que os habían invitado un día, y es que es un podcast temático con vosotras siempre, no?"
"544","@Chagofran @LaVanguardia @SangreFucsia @gaelx @henarconh @LauraFreixas @LeticiaDolera Y gracias a la autora del artículo, porque: https://t.co/7orxt3hP9F"
"545","@Chagofran @LaVanguardia @SangreFucsia Con @gaelx, @henarconh, Pilar de Francisco, @LauraFreixas, @LeticiaDolera y muchas, muchas more.

Mogollón de podcasts feministas, primas."
"546","Me pasa @chagofran esto de @LaVanguardia. 

Con @SangreFucsia, Radiojaputa, Las Chicas (pronto en antena), Tramas Maestras y Fan Grrrl.

https://t.co/QbKTonb5at"
"547","@MAguadoCoach @siraallwhite @tanqueraytwelve Miguel, espero que animando como coach seas mejor que intentando insultar, porque si no te vas a morir de hambre."
"548","Qué bonito &lt;3
También aprendo con vuestros audios. Hoy he aprendido la historia del rape macho, y me ha dado la vidita. https://t.co/FSIvR8tSJ0"
"549","Gracias, compañera! #Normal #BarbijaputaEsBien
#EnamoradasDeMí https://t.co/FOWNzDh533"
"550","@fru6 @sicofarmaco @Arare70 @MagdalenaProust después de echar mierda aprovecha para demostrar que no sabe que el feminismo es transversal. Lo tiene todo."
"551","@sicofarmaco @Arare70 @fru6 además sacas eso a colación cuando ESTAMOS HABLANDO DE MALTRATO. Y la que se retrata soy yo. No vuelvas a mis menciones. Gracias."
"552","@sicofarmaco @Arare70 @fru6 cómo eres tan manipulador? dices que una mujer murió por drogarse cuando los hijos NO QUISIERON hacer público nada, sólo el infarto de la autopsia, y ahora te haces el respetuoso."
"553","@sicofarmaco @Arare70 @fru6 que ME DEJES DE MANSPLAININGS TRONCO"
"554","@sicofarmaco @Arare70 @fru6 bueno, sí, la autopsia dijo que fue un infarto, y los hijos no hicieron público nada más, pero tú a lo tuyo."
"555","""¿No deberíamos ser todas bolleras? Pero bolleras ya, mañana mismo"".

Oyentas &lt;3

https://t.co/X4geAFqbKV"
"556","@sicofarmaco @fru6 pues no hables más, a ver si vas a saber más que su entorno. Es flipante lo vuestro."
"557","@Arare70 @fru6 @sicofarmaco vete a pastar, por favor."
"558","@sicofarmaco tú lo has dicho, desde hacía años, muchos años. Pero el declive no vino ahí, sino con el acoso mediático."
"559","Radiojaputa de esta semana ya listo: BDSM, machistas de izquierdas, psicólogas feministas, recomendaciones de las oyentas, preguntas sobre feminismo y MUSICOTE.

https://t.co/RwtHuysoAf"
"560","Después de aquello empezó un acoso mediático. Sus amigos: ""el declive de Carmen comenzó cuando, tras denunciar públicamente a Ernesto Neyra por malos tratos, sufrió un fuerte ataque mediático. Carmina no pudo aguantar la presión, no superó las críticas y su vida se apagó"""
"561","Dieron igual su relato y las fotos de ojos morados. Dio igual todo, ni siquiera se admitió su denuncia. https://t.co/SHLsYalj89"
"562","Mi hermana me recordó el otro día a Carmina Ordoñez. ¿Os acordáis de que denunció a Ernesto Neyra por malos tratos? Yo sí, pero no lo que vino después."
"563","Lees esto y piensas: a ver cuánto tardan en llamarla mentirosa a ella y soltarlos a ellos. Como ha pasado ya con la manada de Alicante o la manada de sanfermines. https://t.co/BzQQCTBOZT"
"564","En un ratito, Radiojaputa, tu radio violentita, en @eldiarioes."
"565","@fruncas_ @mariaimb claro, y sobre un hombre proletario. Pero eso se llama clasismo."
"566","@ahorapodemos Y no lo borran. Ahí sigue en su TL.

https://t.co/K3sgv3HRpm"
"567","Joder, el corte de @ahorapodemos a qué venía entonces? Es que está diciendo totalmente lo opuesto. https://t.co/7Tbegh35de"
"568","@Pi_Desvario @mariaimb creerse inferior a los hombres no es ser machista, por definición, es estar alienada. A ver, que las definiciones no las he inventado yo ahora."
"569","@mariaimb La misoginia es odio a las mujeres, y ella lo tiene, pero el machismo es sentirse superior a ellas. Una mujer no puede sentirse superior por su género a las mujeres. Son el mismo género."
"570","@TowandaRebels Es que le tuvo que doler hasta físicamente, de verdad. https://t.co/oABBfs7ZGd"
"571","Brutalísima @TowandaRebels. La cara que le ha quedado al abogado de la manada es para hacernos camisetas. https://t.co/5FY3D2I9GA"
"572","¿Por qué no usar el lenguaje que usan siempre? ¿Por qué no han puesto el genérico masculino que es lo acostumbran? Qué cosas. https://t.co/HyovzBwCd5"
"573","""Si ponemos la arroba no nos pueden acusar de apología de la violación"", habrán pensado. https://t.co/GVnZypjhDg"
"574","@Sarakatiuska_ habría que preguntarle a ese señor si cuando ha tenido problemas en su bar, si cuando le han robado o cuando se han armado peleas, se trataba de personas con discapacidad intelectual o tipos perfectamente sanos. En fin..."
"575","@paulaboneti Pues tal cual, compañera. Comparto. 💜✊🏼"
"576","@MikieMahous @nichtmitmachen Claro, me refiero a que a esa no le pueden poner ""del Arte"", no? porque habría que cambiarle el nombre a la estación también"
"577","@nichtmitmachen pero eso sí es Atocha! XD"
"578","Si empezáramos a capar a violadores les faltaría tiempo para llamarnos terroristas a nosotras. https://t.co/SuxwhfKlVp"
"579","@nichtmitmachen ay, a mí me parece bien, no? es que para los de fuera además es confuso Atoche y Atocha Renfe."
"580","Si la justicia no nos protege, ya nos apañamos nosotras. https://t.co/AAHINN04vJ"
"581","@miguelopezm @AsCeTaCaChoNDo @IrantzuVarela @mujeresmaresia Me gusta que pienses que tenemos tanto poder y que el auto no se  refiere a las teles sino a nosotras. Que gente como tú nos dé tanta importancia me da la vidita, Miguel."
"582","@tevaallenardeca que te pires, Manolo."
"583","@tevaallenardeca Tú llamas libertad de opinión a invitar a la tele a 5 condenados que aún no cumplido condena, pero no a invitar a Otegi, que cumplió su condena entera + años que no le correspondían. Me alegra no ser como tú.
https://t.co/a0mFCgI8Uw
eso es lo que nos diferencia."
"584","@Roldan2003 está bien que los tipos como tú tengan miedo."
"585","Porque en la prohibición de comunicarse con la víctima también debe entrar el no poder mandarle ni un mensaje velado por televisión. O además de no salir de Madrid también va a tener que apagar la tele?"
"586","Yo iría preguntando ya a las marcas que patrocinan los programas de Ana Rosa y Griso si saben algo de esto. https://t.co/446G5pcOO8"
"587","@altairdiv algunos, pero no es lo normal tampoco. O sea, con cosas de estas que me linchan en plan salvaje siempre me llegan, pero con este tuit no me habían dicho mucho, me han reportado silenciosamente, que es como me gusta a mí que me reporten, callaítos."
"588","@EFuentedela yeah"
"589","Sé cuando el machirulado me reportar masivamente porque twitter me manda emails así. https://t.co/q2RWQv3VtS"
"590","@LolaSsomoza @Nemesiswings ya no es soto ivars? XDDD"
"591","@Nemesiswings madre mía."
"592","@Nemesiswings quién ha escrito esta basura?"
"593","@Adicta999 Flipo con el ""lo único bien dicho es""...   Además de la misoginia su poquito de  mansplaining."
"594","@_Makkela @BeyondWoods @Adicta999 Es un tío al que deberíamos reportar, añado."
"595","@Adicta999 aquí lo importante es que tiene un crush por mí &lt;3"
"596","@Adicta999 @MadAnnMarie y por defender a militares israelís un poco también."
"597","Aunque no creyeras la violación, aunque no creyeras el abuso, el robo lo han confesado ellos mismos. Qué te lleva a dar hasta mil euros por la libertad de alguien así? La empatía: mañana puedes ser tú el condenado por violar."
"598","Vecinos pagando la fianza de los condenados a 9 años por abuso sexual y robo https://t.co/Nxc82ntyTg"
"599","@goepa ESTÁ INCLUDIO"
"600","LOGROÑO
https://t.co/qF0gbxOB8s"
"601","MANRESA
https://t.co/FheLt1NFzF"
"602","CUENCA
https://t.co/b3ENFAG0da"
"603","TOMELLOSO
https://t.co/3mkqYIRYlr"
"604","Y @fanetin también está poniendo en su TL concentraciones. Echadle un ojo."
"605","VILANOVA I LA GELTRÚ
https://t.co/Q5Fnkxf0mZ"
"606","PONTEVEDRA
https://t.co/5L8MkVCFuE"
"607","@LolaSsomoza @Tony_munoz92 @Wollst0necraft YA INCLUÍ LUCENA"
"608","EL PUERTO DE SANTA MARÍA
https://t.co/b6Hp8llI8R"
"609","ARACENA
https://t.co/HS1rRymNyx"
"610","ELDA
https://t.co/6z3HDUXlaf"
"611","@SuzzieQuiu GRACIAS, AÑADIDO EL CARTEL"
"612","LEÓN https://t.co/3vLwj3LCmW"
"613","Una compañera ha preguntado por Pontevedra. Hay más sitios además de ese que necesitéis saber?"
"614","Primas, estoy leyendo todas las menciones, si no cojo algunos tuits es porque ya están esas concentraciones en el hilo. Gracias a todas. Seguimos."
"615","TARAZONA
https://t.co/dwB9IMarCa"
"616","BADAJOZ
https://t.co/JaSLkCqshn"
"617","ALGECIRAS
https://t.co/AnxwDooy4N"
"618","ADEMÁS DE LOS YA DICHOS:
VÉLEZ-MÁLAGA
ANDÚJAR
LINARES
EL PUERTO
PUERTO REAL
SANLÚCAR https://t.co/3orLTz6irX"
"619","MARBELLA
https://t.co/j4ziroWhYc"
"620","GAVÁ
https://t.co/mXYjMJtKKk"
"621","SALAMANCA
https://t.co/LBH7bgUODR"
"622","VILLENA (ALICANTE)
https://t.co/zimWL9XHGo"
"623","CASTELLDEFELS
https://t.co/0TZiyO5VRE"
"624","BERGARA (GIPUZKOA)
https://t.co/7tM0wi4r3s"
"625","MONTCADA
SAN VICENTE DEL RASPEIG Y +

https://t.co/OSOTxhrlFe"
"626","MURCIA
https://t.co/MMFGJtWPTH"
"627","LUCENA
https://t.co/WLvYyrCzXc"
"628","CEUTA
https://t.co/nVEt4lCmNX"
"629","AVILÉS
XIXÓN
UVIÉU
https://t.co/XFzxy2W5cE"
"630","CASTRILLÓN
https://t.co/Wr1YFtQc8D"
"631","@Marb_Feminista MARBELLA?"
"632","ÉCIJA
https://t.co/Cq9kPKC1vn"
"633","@2torianatxo dónde?"
"634","VALENCIA
https://t.co/lNkuoAB0nb"
"635","ARCOS DE LA FRONTERA
https://t.co/TgiXegOJnc"
"636","MELILLA
https://t.co/FOFNxxLTSN"
"637","SORIA
https://t.co/3EXdq0BTHu"
"638","LAS PALMAS DE GRAN CANARIA https://t.co/b98MYwHApQ"
"639","AQUÍ EMPIEZA EL HILO CON LAS CONVOCATORIAS, IRÉ AÑADIENDO CONFORME VAYA ENCONTRANDO O ME VAYÁIS PASANDO. https://t.co/Y5R1VfE4Mi"
"640","MOTRIL
https://t.co/PbG9okQcAz"
"641","BILBAO
https://t.co/3Ztdfezj9M"
"642","XIXÓN
https://t.co/ngMLt6AIA0"
"643","ALMANSA
https://t.co/y90RvcjxKn"
"644","SEGOVIA https://t.co/kGMTmIxu9k"
"645","L'HOSPITALET DE LLOBREGAT
https://t.co/rw2jIMNsN0"
"646","MIRANDA DE EBRO
https://t.co/VpGalLG8L7"
"647","DURANGO
https://t.co/tNMIOWm1Xm"
"648","PLASENCIA
https://t.co/KcqYm4MaFl"
"649","CASTELLÓN 
https://t.co/BIGZYrXhws"
"650","MÉRIDA
https://t.co/WaD3g9dXCZ"
"651","SEVILLA, CÁDIZ, CÓRDOBA Y MÁLAGA

https://t.co/I8P7NJBAOC"
"652","JAÉN, GRANADA, ALMERÍA Y ROTA
https://t.co/NsRQhwc2aM"
"653","HUELVA Y ALMONTE
https://t.co/dip4QwoRP8"
"654","CARTAGENA
https://t.co/5jGh2e29z6"
"655","ASTURIAS
https://t.co/RqfesWfmch"
"656","PUERTO DEL ROSARIO, FUERTEVENTURA
https://t.co/uNRobU6Vmq"
"657","SANTANDER
https://t.co/uH0YnjNyjM"
"658","GUADALAJARA
https://t.co/InY5zM3OBO"
"659","ALICANTE
https://t.co/nICz8TWmFK"
"660","PALENCIA
https://t.co/G6ws7Kkwl6"
"661","ALPEDRETE
https://t.co/kr6RJFFOnq"
"662","BURGOS
 https://t.co/2PDm491aN5"
"663","ZARAGOZA HUESCA MONZÓN ANDORRA ALCAÑIZ JACA SABIÑANIGO ALAGÓN TERUEL BARBASTRO EJEA

https://t.co/DcmHgFVyst"
"664","TOLEDO
https://t.co/PKqVFYoJrF"
"665","VALLADOLID
https://t.co/0pnw0VL88t"
"666","JAÉN
https://t.co/3DOAlYYMJz"
"667","ELCHE https://t.co/2tOxjMxmrS"
"668","LA PALMA
https://t.co/GbgRwRBESf"
"669","ALMERÍA
https://t.co/gK2jAT2ic9"
"670","CÁDIZ
https://t.co/6pQU0NaS8y"
"671","CÁCERES
https://t.co/eBM3fNTInW"
"672","ZAMORA https://t.co/PO8FJnfuRc"
"673","ALCALÁ DE HENARES
https://t.co/qlk2TeYehA"
"674","SANTA CRUZ DE TENERIFE
https://t.co/t5JLLiJXNM"
"675","JEREZ
https://t.co/CS4e8PBx77"
"676","VILLARROBLEDO
https://t.co/bi7bWiMJZ4"
"677","PONFERRADA
https://t.co/fcJlr3Oivp"
"678","CÓRDOBA
https://t.co/MGoSW77sBw"
"679","GIRONA
https://t.co/gZxuVnMa3r"
"680","SAN FERNANDO, CÁDIZ
https://t.co/AGaSjyNK7O"
"681","REDONDELA
BURELA
CEE
MONTFORTE
VIVEIRO
RIBEIRA
PONTEAREAS
CANGAS 
LUGO
NOIA
VIGO

https://t.co/3WirCJ7LuN"
"682","NO ME ESTÁ SALIENDO EL HILO, YA LO SÉ."
"683","Voy a intentar hacer un hilo con RT, a ver si me sale.

GIRONA. https://t.co/gZxuVnMa3r"
"684","@anamoradelavida dónde es esto?"
"685","Estoy viendo carteles de convocatorias en ciudades grandes, pero no la de las pequeñas, que también hay programadas. ¿Me pasáis las de vuestras ciudades, por fi?"
"686","""Estaba en la calle gracias a un tercer grado penitenciario"". https://t.co/4vuDvMNZRq"
"687","Por favor, leed esto de Pérez Royo.
https://t.co/7AjjEV0xta https://t.co/XXjp46SimF"
"688","Hoy escribo sobre la liberación de la manada. Nos vemos en las calles.

https://t.co/tkQ3MbS7cJ"
"689","@08181 @Arezno atentos: el enigmático mensaje. ¿Qué querrá decir con que no le importa una mierda? 

https://t.co/n2k9nIHpzn"
"690","Mordiéndome la lengua a tope hoy, porque si digo lo que pienso paso yo más tiempo en la cárcel que ellos. Encima eso, contención."
"691","Sobre la libertad de la manada: https://t.co/tkQ3MbS7cJ

Libertad para los cinco condenados: encierro para su víctima"
"692","Los vamos a ver en la tele, eso seguro https://t.co/B6cBTGSEVi"
"693","Alerta: 5 violadores sueltos por Sevilla."
"694","@rocio_gfb @EvaPerezL Ya está actualizada la lista de reproducción de Radiojaputa con las canciones de este último programa sobre maternidad, primas.

https://t.co/OuDuTHayKK"
"695","@Puqui_Mora @maite6669 también lo dije. Si buscas ""terf es el nuevo feminazi"" en twitter somos muchas las que hemos llegado a esa conclusión."
"696","@Grasebort @virgoindomita @azacn30 @LeticiaDolera @ajterrassa @FeministesCAT @diariterrassa ni caso a este tipo, no hay rebuscar mucho para ver de qué palo va: 
https://t.co/pxBNRjRur7"
"697","@BatracioJones @JessicaFillol @feminicidio Y por qué si la tiraron vuelve a estar ahí? No entiendo cómo funciona"
"698","@JessicaFillol @BatracioJones @feminicidio Incluso esa firma no tendría validez ni para el antes, porque lo mismo que te obligan a una cosa te pueden obligar a la otra."
"699","@JessicaFillol @BatracioJones @feminicidio Que algo esté escrito en un contrato no lo hace legítimo. Además de que nadie puede firmar por algo adelantándose al futuro, por mucho que alguien firme que un tipo no la violó no quita que pueda violarla desde el siguiente minuto a partir de entonces."
"700","@BatracioJones @JessicaFillol @feminicidio como si les sirviera de algo aunque consiguieran que alguna lo firmara. Como si no pudiera una arrepentirse tras firmarlo."
"701","Ese miedo de las mujeres que no quieren ser madres a ""¿y si en un futuro me arrepiento?""
Hablamos de eso y de muchas más cosas en el especial maternidad/no maternidad de esta semana, primas.
https://t.co/kRTqZpR0DH https://t.co/20reOOlQkP"
"702","@rarocaghotmail2 está haciendo todo: terapia, medicación, etc. Lo decía por lo de ""Pero tampoco es tan difícil de asumir porque sabía de sobra que estaba enferma"". No es tan fácil como dices asumir que además de todo lo que estás sufriendo, tienes otra enfermedad y de ese calibre"
"703","@rarocaghotmail2 no es mi hermana, y sí es difícil de asumir para una niña con 18 años que aún no se ha repuesto del maltrato y violaciones de su pareja, de la depresión y el TEPT. Lee el hilo entero."
"704","El podcast sobre maternidad / no maternidad ha sido el más difícil de hacer, pero por el que más amorcito nos habéis dado.
https://t.co/kRTqZpR0DH

@rocio_gfb, @EvaPerezL y yo os queremos dar las gracias por vuestros mensajes y por estar ahí. https://t.co/4idTHTh6iJ"
"705","@XoseMorais cómo han apartado a Feijoó. Me muero por saber con qué cabeza de caballo lo han hecho."
"706","@XoseMorais no creo yo que se aparte. Si con todo lo que había ha tenido la cara de presentarse..."
"707","@JotaSeth @GoogleES ay, yo no sé arreglar eso. Por qué no sale?"
"708","Y aquí encierran a menores en CIES. Son tal para cual. https://t.co/ru5pZMnprD"
"709","@ikaitor con qué moral va esta tipa a reprocharle nada a la otra si aquí se encierran a menores en los CIES? Son tal para cual."
"710","El mismo día que están separando a madres de sus hijas en la frontera de EEUU. Psicópatas. https://t.co/9NZje8WqBw"
"711","@BeatrizGimeno1 @Gaznapira @Tuices @MagdalenaProust @coralherreragom @Nemesiswings @anaisbernal @LeticiaDolera @2LaCrono @aliciamurilloru @_Peich @Ninaventresca @Latanace @lalitx (yo no contesto nada porque no tengo ni idea de literatura erótica)"
"712","@BeatrizGimeno1 @Gaznapira @Tuices @MagdalenaProust @coralherreragom @Nemesiswings @anaisbernal @LeticiaDolera @2LaCrono @aliciamurilloru @_Peich @Ninaventresca @Latanace @lalitx en serio?!"
"713","Leo un titular: cuatro presuntos crímenes machistas en 48 horas. Nunca leo los comentarios de estas noticias para evitar golpes de realidad, pero ésta me parecía completamente innegable, así que los leí. Aquí un resumen.

https://t.co/PIcobbmM3l"
"714","@HombreLento eres capaz de hacer lo que sea con tal de no venir a Madrid a verme."
"715","@fanetin además es mentira."
"716","@EiiMister los leo todos siempre, pero tengo un horario!"
"717","@nllafb al menos ella tiene eso: él va a pasar muchos años en la cárcel. Que encima tengamos que consolarnos por eso porque podría perfectamente no haber sido así, es terrible."
"718","Ha visto pasar ante ella a médicos, enfermeros, policías y jueces que le han dejado heridas que aún no han curado. Y lo que tardarán."
"719","Si la conocierais os dolería más, no sólo por el hecho de que conocer a alguien ya hace que lo sientas más profundo, es que ella es una persona maravillosa. Es un corazón con patas. Graciosa, inteligente, empática hasta perder el sueño. Una persona como pocas he conocido nunca."
"720","No una ni dos ni tres veces, muchas durante un año. Este verano cumple 19 años.
De los 15 a los 18 maltratada por un tipo, de los 18 a los casi 19 maltratada por las instituciones."
"721","La violencia institucional que recibe una mujer que denuncia es indescriptible. Ella ha llegado llorando de hospitales, de comisarías, de todos los sitios donde debieron cuidarla."
"722","Este hilo habla de alguien a quien quiero mucho, y a quien es imposible consolar hoy. Leedlo, por favor. https://t.co/pQIzoxERnQ"
"723","@jorge_chaos @Warrior87x lo mismo¿ ni de coña. Es que C's es el partido misógino por excelencia, deberían callarse la boca siempre con este tema, más aún cuando es interesado y falaz como aquí"
"724","@jorge_chaos @Warrior87x yo lo que he visto no me parece machista, ¿o hay más cosas que el 'usted no ha gestionado nada""?"
"725","Sois todopoderosas
sois supermanas
todo lo podéis
cracks, ídolas, láser en los ojos,
superpoderes, mujeres, 
¡ME GUSTÁIS TODAS!
20mil copias vendidas
me parecen pocas
pa to lo que tengo dentro,
maquinonas."
"726","En plan: 

Las tías molan
pero no como tú crees
sino como te digo yo,
to profundo soy,
luego digo ""gilipollas""
no vaya a parecer
que soy gay, 
que tampoco es eso."
"727","Flipo
con los neopoetas
que se creen 
que dicen cosas bonitas
pero son machistas
que para no perder 
su masculinidad
sueltan insultos al final. https://t.co/Qj9mKK8l8h"
"728","@Adicta999 todas las personas que citas las tengo block. XD"
"729","@MiniAkula me alegra saber que te sientes mejor, este programa era para hacernos sentir mejor, para desahogarnos, es un espacio que pretende lo contrario a lo que sentiste, lo siento mucho si fue así."
"730","@MiniAkula ah, pues no he escuchado ninguno con saludo! si lo mandaste tarde no lo he oído aún. Pero hay una sección maternidad y tarde o temprano (hay cientos de audios) saldrás."
"731","Ojalá a todas las que habéis participado os haya servido desahogaros y saber que habéis ayudado a no sentirse sola a muchas mujeres."
"732","Se me nota el nudito en la garganta y to. Yo en casa preparándolo estaba que temblaba con algunos audios. Y muchos que se han quedado fuera y que ya irán saliendo, porque si ponía todos los duros juntos era demasiado. https://t.co/v44XhFjl94"
"733","@MiniAkula habrá una sección maternidad a partir de ahora, puedes mandar lo que quieras."
"734","@MiniAkula pero manda un audio! el podcast lo hacéis vosotras, he sacado lo que he recibido, no he hecho una selección ignorando testimonios. He intentado poner cosas de todo los temas posibles."
"735","@MiniAkula pero por qué? no sé qué parte ha podido molestarte o decepcionarte."
"736","@MiniAkula ¿? el de la maternidad?"
