"","x"
"98","@LI3PeO @s0yningun0 @SheraPrinzessin ni yo"
"99","@LI3PeO @s0yningun0 @SheraPrinzessin acabo de reportarlo por misoginia y homofobia."
"100","@Cainite62 @IrenePueblas ni yo, básicamente porque yo o la bici es eléctrica o no subo ni mi calle"
"101","@_mergo lo he RT"
"102","Ni uno solo, ni uno, de todos los contenidos que han subido sobre el Orgullo no llevan mención a los vientres de alquiler. No se puede ser más despreciable. Son capaces de usarlo TODO, lo que sea, para llevar a cabo sus negocios."
"103","He visto el vídeo de C's en el Orgullo con música épica (donde sale Rivera defendiendo los vientres de alquiler, por supuesto), y se me está revolviendo el café."
"104","@DeisiLennon @kingjedet_ @Albert_Rivera qué asco, por favor, y dale Perico al torno con los vientres de alquiler."
"105","@IrenePueblas Yesenia creó un evento para las que os queráis unir a ella. Ya son 4 españolas y también mujeres iraníes que la esperan allí.
Este es el evento:
https://t.co/YoGa47OSIc"
"106","@IrenePueblas Irene recorrió Latinoamérica durante 11 meses, haciendo y vendiendo artesanía cuando se le acababan los ahorros.
Yesenia lleva dos meses pedaleando por Turquía, Georgia y en breve llegará a Irán.

https://t.co/V3gxPieqqx"
"107","El podcast de ayer fue TAN bonito.
Mujeres viajando sin nadie más.
Cicloviajeras, mochileras, coachsurfers nos dieron trucos y consejos... Y llamamos a @IrenePueblas y a Yesenia, que habían mandado audios, para que nos contaran sus viajes.

https://t.co/V3gxPieqqx"
"108","@alicebside 😂😂😂"
"109","@Tenkailec @annaprats @barbaflautas No estás leyendo, por favor, sácame de tus menciones"
"110","@barbaflautas @Tenkailec No había visto la bio. Qué cacao tiene la gente. 😔"
"111","@barbaflautas @Tenkailec estoy tan cansada de esto... agrediendo físicamente a mujeres, y la peña mirando. Yo no puedo con esto."
"112","Se nos va de las manos esta puta mierda misógina. https://t.co/B51ZHfmy71"
"113","@Msguapi :__)

Gracias a ti!"
"114","@punkycoliflower pero cómo no te voy a seguir, jajajaj &lt;3"
"115","@shebaotayorino @tanqueraytwelve @punkycoliflower jajajja, es la persona más bonita del mundo."
"116","@punkycoliflower Hola, cariño! te quiero mucho &lt;3"
"117","ESPECIAL ""No voy sola, voy con mi parrús"".
https://t.co/V3gxPieqqx
Las oyentas cicloviajeras, mochileras y coachsurfers de Radiojaputa cuentan viajes, experiencias y consejos en este podcast que dedicamos a Mary Read, pirata que surcó los mares del mundo en el siglo XVII. https://t.co/558YrE2gqZ"
"118","@Arezno @fanetin me oprimes con tus reclamaciones de privilegiado."
"119","@Arezno @fanetin yo quiero que me devuelvan el dinero de dos ""confusiones"" que han tenido, me ofrecen firmar permanencia para resarcirme (?), pero no devolverme mi dinero. Algunas es que tenemos una cara..."
"120","@Arezno Vente conmigo a @SomConnexio, Arec. Juntos en lo malo y también en lo bueno."
"121","@fanetin @Arezno para decirte que ""no podemos ayudarte pero que si firmas una permanencia por el servicio #VodaPlus, te lo miramos más detenidamente porque ese servicio incluye un gestor con más dos neuronas sólo para ti""."
"122","@Guerraeterna psoefobia, la lacra del siglo XXI."
"123","@Tras_los_Muros gracias, a este no lo tenía bloqueado aún"
"124","@siraallwhite tía, y nosotras aquí confundidas. Dónde estaba Asier cuando lo necesitábamos?"
"125","@Luisemparan @rubenradioboy @tatanka_69 @Equo ajjaajjaja"
"126","@Luisemparan @rubenradioboy @tatanka_69 @Equo pues seguro que te sientes rara avis, y no creo que niegues la generalización porque existes tú, no?"
"127","@somofrates @smenjare jajajajajjaajajajajj muero"
"128","@piluca3210 @Sergetsus @micetismos lo que me dicen a mí a diario y con lo que él ha colaborado"
"129","@Luisemparan @rubenradioboy @tatanka_69 hay fascistas republicanos, fascismo no es lo mismo que apoyar la monarquía."
"130","@StyleJuanG @mtma_8 @beoxman @Sergetsus otro que no sabe de qué habla. A Sergio le ha picado mucho este artículo, y ella lo está defendiendo: https://t.co/GUBffVjDcM
Más profundo y con más citas lo quieres?"
"131","@Luis_Mayo_L3 @mtma_8 @beoxman @Sergetsus sí, hijo, sí, me critica por un artículo básico, muy básico, me llama odiahombres por escribir lo que ya han escrito miles de feministas antes. Si ese artículo le parece mal, no sólo me está criticando a mí. No lo veis porque no habéis leído sobre el tema en vuestra vida."
"132","@mtma_8 @beoxman @Sergetsus sinceramente, creo que no has leído un libro feminista en tu vida."
"133","@Sergetsus pues acostúmbrate, Sergio, que esto no ha hecho más que empezar."
"134","@Sergetsus @beoxman otro que da por hecho que un tuitero que pone SEÑORO es una mujer porque no le sigue el rollo XD"
"135","@mtma_8 @beoxman @Sergetsus pero si le estás hablando a un hombre. Ya veis ""feminazis"" en todos sitios, eh?"
"136","@Sergetsus @beoxman Ahhh que todo venía por este artículo en el que te has visto reflejado. Ahora sí, Block."
"137","@Sergetsus @beoxman  https://t.co/qds8XCwHPN"
"138","Siguen las menciones por el artículo que hablaba de los hombres presionando en la cama a sus parejas. Puede que sea el artículo qué más demostraciones han dado de que es cierto. https://t.co/tpf2tqwCGa"
"139","Buenos días https://t.co/8qR6WSG77w"
"140","@jbardajiz prejuicio, eh? 10 años leyendo burradas en tw son ""pre""juicios. En fin."
"141","@Aitanaypunto @mcruzmola es que mira que me extrañaba XDD"
"142","Me han contestado dos que no. He entrado en sus menciones: es que nadie con banderas de España les ha hablado."
"143","@mcruzmola perdona que me haya metido en tus menciones, pero por lo que veo, en los últimos meses, no te ha hablado nadie con la bandera española."
"144","¿No os pasa que veis una bandera de España en vuestras menciones y ya sabéis que van a insultaros, a a defender a la manada o a decir alguna machunada/racistada?"
"145","Sí, aquí mienten todos menos tú y la manada. El problema somos los demás. https://t.co/1WC77hG7Li"
"146","@carissmai @Nacho_Abad @BARBARAROYO ¿Tú eres fake, no?"
"147","@CampoyAtletico @tanqueraytwelve esto es todo lo que tienes que comentar a este hilo, verdad? porque necesitas enseñarnos el plumero... pues nada, ya lo hemos visto, ya puedes acostarte otra vez, Manolito."
"148","@Cristelo191 pues un resumen bastante bueno, la verdad"
"149","""Manijeros y responsables de fincas, con poca supervisión de las empresas y las administraciones públicas, son los encargados de cientos de mujeres a las que en muchas ocasiones tratan con insultos, amenazas y vejaciones"".
vía @nodo50 
https://t.co/nOmgLqWJHm+"
"150","@rocio_gfb El programa de mañana os va a dar MUCHAS GANAS de hacer la maleta y piraros sin nadie más, a tomar viento, más lejos, mejor. Qué maravillas de audios nos mandan las primas. SUPEREMPODERÁ yo el domingo por la mañana."
"151","@Kingmar97 @rocio_gfb no lo había pensado, pero SÍ, YO CANTANDO POR ENCIMA, y cargándome la canción. No se hable más."
"152","El Radiojaputa de mañana será un especial ""No voy sola, voy con mi parrús"". Y tendremos audios de oyentas viajeras y entrevistas!

¡Y pienso abrir con esta canción quiera @rocio_gfb
o no!

https://t.co/4fF3lYWAQY"
"153","@carissmai @Nacho_Abad @BARBARAROYO estás respondiendo con el mismo enlace que compartieron ellos y por el que deberán rectificar. Está claro que la desinformación es total, y gracia a gente como ellos."
"154","@cidalf @Nacho_Abad @BARBARAROYO va a ser eso. Luego que si hay crisis en el periodismo... no es eso, es que las malas personas no pueden ser buenos periodistas."
"155","¿Han rectificado ya @Nacho_Abad y @BARBARAROYO o van a seguir desinformando? 

Es pregunta retórica. https://t.co/pvWOfdncw4"
"156","@BeatrizGimeno1 @generoenaccion Y que a ellos también los obligan sus parejas, no te lo pierdas. Pero que se someten por ellas. A mujeres diciéndome que obligan a sus novios a follar no tengo ninguna. Qué cosas."
"157","@VEROSSETTI @mantonieta1536 Créeme que te hace mucha."
"158","@VEROSSETTI @mantonieta1536 ni te voy a contestar, fenómena."
"159","Y todavía hay gente que se pregunta por qué el liberalismo es enemigo del feminismo."
"160","Y sigue Albert enlazando vientres de alquiler con el colectivo LGTB.
De no querer llamar ""matrimonio"" a la unión entre gays, a usarlos para sus intereses misóginos y liberales. https://t.co/qwCtpKqlb2"
"161","Ya va por 114 menciones, mayoría de indignados que insultan porque cómo no se va a poder presionar en la cama
https://t.co/GaEVgek7G7"
"162","""Guardia Civil en Activo"", dice su bio. https://t.co/BZsPVk9bWy"
"163","@jabikiliki @Moncoba1979 estupendo, hasta entonces, que no cuenten con las feministas animalistas."
"164","@Moncoba1979 @jabikiliki ""ignoremos la violecia animal y el acoso sexual, también otras cosas, mujer"""
